Episode: 298, Total reward:-21.0, Explore P: 0.6186872307834373, loss: 6.9500136
Episode: 299, Total reward:-20.0, Explore P: 0.6167617121487133, loss: 26.191168
Episode: 300, Total reward:-21.0, Explore P: 0.6148368649135725, loss: 29.902185
Episode: 301, Total reward:-21.0, Explore P: 0.6129137197092221, loss: 0.25127196
Episode: 302, Total reward:-20.0, Explore P: 0.6109919942873422, loss: 16.127298
Episode: 303, Total reward:-21.0, Explore P: 0.6090701637533197, loss: 37.662476
Episode: 304, Total reward:-21.0, Explore P: 0.6071500890060023, loss: 4.3037524
Episode: 305, Total reward:-20.0, Explore P: 0.6052310974558555, loss: 18.253902
Episode: 306, Total reward:-19.0, Explore P: 0.6033133575287374, loss: 0.6466866
Episode: 307, Total reward:-20.0, Explore P: 0.6013963085062882, loss: 8.754386
Episode: 308, Total reward:-20.0, Explore P: 0.5994809270743833, loss: 105.93998
Episode: 309, Total reward:-20.0, Explore P: 0.5975663792489702, loss: 84.616776
Episode: 310, Total reward:-21.0, Explore P: 0.5956527562406883, loss: 3.5441315
Episode: 311, Total reward:-20.0, Explore P: 0.5937407852835453, loss: 1.6032575
Episode: 312, Total reward:-19.0, Explore P: 0.5918296335848183, loss: 5.848142
Episode: 313, Total reward:-20.0, Explore P: 0.5899191577572015, loss: 114.62868
Episode: 314, Total reward:-21.0, Explore P: 0.5880098125445803, loss: 56.939625
Episode: 315, Total reward:-20.0, Explore P: 0.5861005586618782, loss: 15.145929
Episode: 316, Total reward:-20.0, Explore P: 0.5841922716584917, loss: 8.693953
Episode: 317, Total reward:-21.0, Explore P: 0.5822851339341933, loss: 8.238514
Episode: 318, Total reward:-21.0, Explore P: 0.5803804255969195, loss: 38.75942
Episode: 319, Total reward:-21.0, Explore P: 0.5784777897088558, loss: 5.04004
Episode: 320, Total reward:-21.0, Explore P: 0.5765777188320396, loss: 4.0643086
Episode: 321, Total reward:-21.0, Explore P: 0.574680384741289, loss: 11.992391
Episode: 322, Total reward:-20.0, Explore P: 0.572785479226477, loss: 14.623291
Episode: 323, Total reward:-20.0, Explore P: 0.5708919458305033, loss: 29.26058
Episode: 324, Total reward:-21.0, Explore P: 0.569000429077993, loss: 81.316605
Episode: 325, Total reward:-20.0, Explore P: 0.5671104285051817, loss: 0.8883544
Episode: 326, Total reward:-20.0, Explore P: 0.5652217265939848, loss: 7.212654
Episode: 327, Total reward:-20.0, Explore P: 0.5633354303234385, loss: 151.26942
Episode: 328, Total reward:-20.0, Explore P: 0.561450847967171, loss: 54.32981
Episode: 329, Total reward:-21.0, Explore P: 0.5595684253465704, loss: 14.323868
Episode: 330, Total reward:-20.0, Explore P: 0.5576885098899662, loss: 5.565524
Episode: 331, Total reward:-21.0, Explore P: 0.5558102084448173, loss: 54.313282
Episode: 332, Total reward:-19.0, Explore P: 0.5539348262968992, loss: 1.0448612
Episode: 333, Total reward:-21.0, Explore P: 0.5520612698106883, loss: 0.97068393
Episode: 334, Total reward:-19.0, Explore P: 0.5501905075663008, loss: 0.028723141
Episode: 335, Total reward:-20.0, Explore P: 0.5483217261140787, loss: 25.65646
Episode: 336, Total reward:-21.0, Explore P: 0.5464551794577008, loss: 57.127434
Episode: 337, Total reward:-20.0, Explore P: 0.5445900729905344, loss: 10.8865385
Episode: 338, Total reward:-20.0, Explore P: 0.5427271222204113, loss: 3.595063
Episode: 339, Total reward:-20.0, Explore P: 0.5408666299653375, loss: 126.5837
Episode: 340, Total reward:-20.0, Explore P: 0.5390090611628842, loss: 54.810658
